BIZ_UNIT,PD_S_C,PD_S_NM,,PD_M_NM,,PD_H_NM,,cnt.x,cnt.y,percent
A04,201,기타캔,제거,캔,,가공식품,,13,5720,0.002272727
A04,199,농산캔,,캔,,가공식품,,43,5720,0.007517483
A04,198,수산캔,,캔,,가공식품,,24,5720,0.004195804
A04,200,육가공캔,,캔,,가공식품,,42,5720,0.007342657
A04,197,참치캔,,캔,,가공식품,,107,5720,0.018706294
A04,409,다이소균일가상품,,다이소 균일가,,가정용품,생필품,3,5720,0.000524476
A04,391,방향제,,방향제,,가정용품,생필품,4,5720,0.000699301
A04,392,탈취제,,방향제,,가정용품,생필품,46,5720,0.008041958
A04,390,기피제,,살충제,,가정용품,생필품,1,5720,0.000174825
A04,387,매트/훈증기,,살충제,,가정용품,생필품,6,5720,0.001048951
A04,388,모기향,,살충제,,가정용품,생필품,6,5720,0.001048951
A04,389,방충제,,살충제,,가정용품,생필품,13,5720,0.002272727
A04,386,에어졸,,살충제,,가정용품,생필품,18,5720,0.003146853
A04,396,섬유유연제,,세제류,,가정용품,생필품,11,5720,0.001923077
A04,393,세탁세제,,세제류,,가정용품,생필품,20,5720,0.003496503
A04,394,주방세제,,세제류,,가정용품,생필품,17,5720,0.002972028
A04,395,청소세제,,세제류,,가정용품,생필품,18,5720,0.003146853
A04,397,표백제,,세제류,,가정용품,생필품,3,5720,0.000524476
A04,400,랩/호일,,주방용품,,가정용품,생필품,23,5720,0.004020979
A04,398,수세미/행주류,,주방용품,,가정용품,생필품,15,5720,0.002622378
A04,399,조리기구/소모품,,주방용품,,가정용품,생필품,43,5720,0.007517483
A04,408,기타,제거,청소/작업용품,,가정용품,생필품,2,5720,0.00034965
A04,407,장갑류,,청소/작업용품,,가정용품,생필품,17,5720,0.002972028
A04,406,테이프류,,청소/작업용품,,가정용품,생필품,29,5720,0.00506993
A04,405,목욕타올,,타올/욕실용품,,가정용품,생필품,23,5720,0.004020979
A04,404,레져시트/기타,제거,행락용품,,가정용품,생필품,36,5720,0.006293706
A04,402,일회용용기,제거,행락용품,,가정용품,생필품,32,5720,0.005594406
A04,403,젓가락/스푼,제거,행락용품,,가정용품,생필품,34,5720,0.005944056
A04,401,종이컵,제거,행락용품,,가정용품,생필품,224,5720,0.039160839
A04,25,기타,제거,기타,,간식,,1,5720,0.000174825
A04,24,냉장피자,,냉장피자,,간식,,102,5720,0.017832168
A04,22,조리샐러드,,샐러드,,간식,,43,5720,0.007517483
A04,23,조리면,,조리면,,간식,,19,5720,0.003321678
A04,508,공병공박스,제거,공병공박스,,공병공박스,,604,5720,0.105594406
A04,510,맥주공병,제거,주류공병,,공병공박스,,7,5720,0.001223776
A04,509,소주공병,제거,주류공병,,공병공박스,,49,5720,0.008566434
A04,157,씨리얼,,간편영양식품,,과자,간식,38,5720,0.006643357
A04,155,영양바,,간편영양식품,,과자,간식,7,5720,0.001223776
A04,156,영양식품(비타민),,간편영양식품,,과자,간식,17,5720,0.002972028
A04,158,환자식,,간편영양식품,,과자,간식,4,5720,0.000699301
A04,150,스틱껌,,껌,,과자,간식,336,5720,0.058741259
A04,154,어린이껌,,껌,,과자,간식,9,5720,0.001573427
A04,152,용기껌,,껌,,과자,간식,126,5720,0.022027972
A04,151,케이스껌,,껌,,과자,간식,492,5720,0.086013986
A04,153,풍선껌,,껌,,과자,간식,337,5720,0.058916084
A04,128,기타,제거,비스킷류,,과자,간식,282,5720,0.049300699
A04,127,스틱과자,,비스킷류,,과자,간식,406,5720,0.070979021
A04,129,알뜰절약상품,,비스킷류,,과자,간식,64,5720,0.011188811
A04,125,쿠키,,비스킷류,,과자,간식,902,5720,0.157692308
A04,124,크래커,,비스킷류,,과자,간식,821,5720,0.143531469
A04,126,파이,,비스킷류,,과자,간식,641,5720,0.112062937
A04,130,행사상품,제거,비스킷류,,과자,간식,70,5720,0.012237762
A04,131,감자스낵,,스낵류,,과자,간식,1484,5720,0.259440559
A04,135,기타(수입과자),제거,스낵류,,과자,간식,17,5720,0.002972028
A04,136,알뜰절약상품,,스낵류,,과자,간식,50,5720,0.008741259
A04,133,옥수수스낵,,스낵류,,과자,간식,1326,5720,0.231818182
A04,132,일반스낵,,스낵류,,과자,간식,1347,5720,0.23548951
A04,134,전통스낵,,스낵류,,과자,간식,354,5720,0.061888112
A04,145,바쵸코렛,,쵸코렛,,과자,간식,690,5720,0.120629371
A04,147,볼쵸코렛,,쵸코렛,,과자,간식,493,5720,0.086188811
A04,146,봉지쵸코렛,,쵸코렛,,과자,간식,111,5720,0.019405594
A04,149,어린이초코렛,,쵸코렛,,과자,간식,334,5720,0.058391608
A04,144,판쵸코렛,,쵸코렛,,과자,간식,672,5720,0.117482517
A04,148,행사상품,제거,쵸코렛,,과자,간식,116,5720,0.02027972
A04,138,과일향캔디,,캔디류,,과자,간식,444,5720,0.077622378
A04,137,기능성캔디,,캔디류,,과자,간식,397,5720,0.069405594
A04,139,봉지캔디,,캔디류,,과자,간식,256,5720,0.044755245
A04,140,카라멜/젤리,,캔디류,,과자,간식,854,5720,0.149300699
A04,143,타블렛캔디,,캔디류,,과자,간식,107,5720,0.018706294
A04,141,토이캔디,,캔디류,,과자,간식,85,5720,0.01486014
A04,142,행사상품,제거,캔디류,,과자,간식,47,5720,0.008216783
A04,511,봉투보증금,제거,봉투보증금,,기타,,463,5720,0.080944056
A04,322,냉동얼음,제거,냉동기타,,냉동,가공식품,13,5720,0.002272727
A04,321,냉동육류,,냉동기타,,냉동,가공식품,68,5720,0.011888112
A04,323,선물세트,제거,냉동기타,,냉동,가공식품,6,5720,0.001048951
A04,316,봉지만두,,냉동만두,,냉동,가공식품,65,5720,0.011363636
A04,317,트레이만두,,냉동만두,,냉동,가공식품,81,5720,0.014160839
A04,320,냉동간식류,,냉동면밥류,,냉동,가공식품,29,5720,0.00506993
A04,318,냉동면,,냉동면밥류,,냉동,가공식품,18,5720,0.003146853
A04,319,냉동밥,,냉동면밥류,,냉동,가공식품,31,5720,0.00541958
A04,92,일반란,,(구)1차식품,,냉장,가공식품,65,5720,0.011363636
A04,93,과일,,(구)과일야채,,냉장,가공식품,1,5720,0.000174825
A04,91,가정간편식,,냉장식품,,냉장,가공식품,91,5720,0.015909091
A04,90,기타,제거,냉장식품,,냉장,가공식품,27,5720,0.00472028
A04,87,냉장면,,냉장식품,,냉장,가공식품,230,5720,0.04020979
A04,88,냉장죽,,냉장식품,,냉장,가공식품,17,5720,0.002972028
A04,89,삶은계란,,냉장식품,,냉장,가공식품,506,5720,0.088461538
A04,86,기타,제거,반찬,,냉장,가공식품,2,5720,0.00034965
A04,81,김치,,반찬,,냉장,가공식품,351,5720,0.061363636
A04,82,맛살,,반찬,,냉장,가공식품,149,5720,0.026048951
A04,84,어묵,,반찬,,냉장,가공식품,133,5720,0.023251748
A04,83,젓갈,,반찬,,냉장,가공식품,2,5720,0.00034965
A04,85,조림반찬,,반찬,,냉장,가공식품,1,5720,0.000174825
A04,80,기타,제거,육가공,,냉장,가공식품,42,5720,0.007342657
A04,75,소시지,,육가공,,냉장,가공식품,722,5720,0.126223776
A04,77,소형바,,육가공,,냉장,가공식품,441,5720,0.077097902
A04,79,족발,,육가공,,냉장,가공식품,40,5720,0.006993007
A04,78,치킨,,육가공,,냉장,가공식품,39,5720,0.006818182
A04,76,햄,,육가공,,냉장,가공식품,16,5720,0.002797203
A04,324,KT&G,제거,국산담배,,담배,,640,5720,0.111888112
A04,325,BAT,제거,외산담배,,담배,,276,5720,0.048251748
A04,327,JTI,제거,외산담배,,담배,,159,5720,0.027797203
A04,326,PMI,제거,외산담배,,담배,,449,5720,0.078496503
A04,328,시가,제거,외산담배,,담배,,1,5720,0.000174825
A04,329,직수입,제거,외산담배,,담배,,3,5720,0.000524476
A04,29,떡,,떡,,디저트,간식,10,5720,0.001748252
A04,30,선물세트,제거,떡,,디저트,간식,3,5720,0.000524476
A04,31,직납떡,,떡,,디저트,간식,26,5720,0.004545455
A04,32,떠먹는젤리,,젤리,,디저트,간식,160,5720,0.027972028
A04,34,마시는젤리,,젤리,,디저트,간식,61,5720,0.010664336
A04,33,푸딩,,젤리,,디저트,간식,50,5720,0.008741259
A04,26,일반케익,,케익,,디저트,간식,19,5720,0.003321678
A04,27,조각케익,,케익,,디저트,간식,11,5720,0.001923077
A04,28,프리미엄케익,,케익,,디저트,간식,28,5720,0.004895105
A04,241,병맥주(대),,병맥주,,맥주,음주,214,5720,0.037412587
A04,239,병맥주(소),,병맥주,,맥주,음주,75,5720,0.013111888
A04,240,병맥주(중),,병맥주,,맥주,음주,161,5720,0.028146853
A04,246,생맥주500ML,,생맥주,,맥주,음주,4,5720,0.000699301
A04,244,수입맥주(병),,수입맥주,,맥주,음주,51,5720,0.008916084
A04,245,수입맥주(캔),,수입맥주,,맥주,음주,812,5720,0.141958042
A04,242,캔맥주(소),,캔맥주,,맥주,음주,540,5720,0.094405594
A04,243,캔맥주(중),,캔맥주,,맥주,음주,558,5720,0.097552448
A04,186,기타,제거,기타,,면,,69,5720,0.012062937
A04,179,라면,,봉지면,,면,간편식품,353,5720,0.061713287
A04,180,비빔면,,봉지면,,면,간편식품,219,5720,0.038286713
A04,181,우동,,봉지면,,면,간편식품,1,5720,0.000174825
A04,182,라면(대형컵),,용기면,,면,간편식품,1156,5720,0.202097902
A04,183,라면(소형컵),,용기면,,면,간편식품,876,5720,0.153146853
A04,184,비빔면,,용기면,,면,간편식품,484,5720,0.084615385
A04,185,우동,,용기면,,면,간편식품,100,5720,0.017482517
A04,489,노트류기타,제거,노트/봉투,,문구/팬시,,5,5720,0.000874126
A04,488,봉투류,,노트/봉투,,문구/팬시,,33,5720,0.005769231
A04,487,수첩메모,,노트/봉투,,문구/팬시,,15,5720,0.002622378
A04,486,일반노트,,노트/봉투,,문구/팬시,,18,5720,0.003146853
A04,485,초등노트,,노트/봉투,,문구/팬시,,1,5720,0.000174825
A04,482,복사용지/라벨,,사무용품,,문구/팬시,,17,5720,0.002972028
A04,484,사무정리용품,,사무용품,,문구/팬시,,1,5720,0.000174825
A04,481,일반사무용품,,사무용품,,문구/팬시,,12,5720,0.002097902
A04,483,접착제,,사무용품,,문구/팬시,,28,5720,0.004895105
A04,491,쇼핑백/포장지,,팬시,,문구/팬시,,27,5720,0.00472028
A04,490,축하카드,,팬시,,문구/팬시,,5,5720,0.000874126
A04,492,팬시용품,,팬시,,문구/팬시,,8,5720,0.001398601
A04,472,수성펜,,필기용품,,문구/팬시,,5,5720,0.000874126
A04,476,수정펜/지우개,,필기용품,,문구/팬시,,21,5720,0.003671329
A04,471,연필/샤프/샤프심,,필기용품,,문구/팬시,,15,5720,0.002622378
A04,473,유성펜,,필기용품,,문구/팬시,,18,5720,0.003146853
A04,474,중성펜,,필기용품,,문구/팬시,,31,5720,0.00541958
A04,475,형광펜,,필기용품,,문구/팬시,,4,5720,0.000699301
A04,477,후크형 필기구,,필기용품,,문구/팬시,,35,5720,0.006118881
A04,478,자/풀,,학용품,,문구/팬시,,14,5720,0.002447552
A04,479,칼/가위,,학용품,,문구/팬시,,15,5720,0.002622378
A04,480,테이프,,학용품,,문구/팬시,,19,5720,0.003321678
A04,3,말이김밥,,김밥,,미반,간편식품,510,5720,0.089160839
A04,5,초밥,,김밥,,미반,간편식품,79,5720,0.013811189
A04,4,트레이김밥,,김밥,,미반,간편식품,136,5720,0.023776224
A04,9,국/찌개도시락,,도시락,,미반,간편식품,3,5720,0.000524476
A04,8,기타,제거,도시락,,미반,간편식품,2,5720,0.00034965
A04,6,도시락,,도시락,,미반,간편식품,447,5720,0.078146853
A04,7,미니도시락,,도시락,,미반,간편식품,108,5720,0.018881119
A04,11,동그란주먹밥,,동그란주먹밥/사각주먹밥,,미반,간편식품,94,5720,0.016433566
A04,12,사각주먹밥,,동그란주먹밥/사각주먹밥,,미반,간편식품,99,5720,0.017307692
A04,2,The커진삼각김밥,,삼각김밥,,미반,간편식품,469,5720,0.081993007
A04,1,삼각김밥,,삼각김밥,,미반,간편식품,1476,5720,0.258041958
A04,13,안주/간식류,,안주/간식류,,미반,간편식품,2,5720,0.00034965
A04,10,떠먹는주먹밥,,용기형주먹밥,,미반,간편식품,3,5720,0.000524476
A04,14,조리면,,조리면,,미반,간편식품,12,5720,0.002097902
A04,364,기초화장품,,남성화장품,,미용/화장품,,6,5720,0.001048951
A04,365,클렌징,,남성화장품,,미용/화장품,,3,5720,0.000524476
A04,351,기타소품,제거,미용소품,,미용/화장품,,26,5720,0.004545455
A04,349,미용 소도구,,미용소품,,미용/화장품,,111,5720,0.019405594
A04,350,액세서리,,미용소품,,미용/화장품,,83,5720,0.01451049
A04,357,기초화장품,,여성화장품,,미용/화장품,,3,5720,0.000524476
A04,362,립케어,,여성화장품,,미용/화장품,,59,5720,0.010314685
A04,360,바디용품,,여성화장품,,미용/화장품,,37,5720,0.006468531
A04,361,색조/메이크업,,여성화장품,,미용/화장품,,5,5720,0.000874126
A04,363,시즌 화장품,,여성화장품,,미용/화장품,,10,5720,0.001748252
A04,358,크림,,여성화장품,,미용/화장품,,8,5720,0.001398601
A04,359,클렌징,,여성화장품,,미용/화장품,,36,5720,0.006293706
A04,352,무스,,헤어스타일링,,미용/화장품,,1,5720,0.000174825
A04,353,스프레이,,헤어스타일링,,미용/화장품,,27,5720,0.00472028
A04,355,왁스,,헤어스타일링,,미용/화장품,,28,5720,0.004895105
A04,354,젤,,헤어스타일링,,미용/화장품,,14,5720,0.002447552
A04,356,케어/염모제,,헤어스타일링,,미용/화장품,,6,5720,0.001048951
A04,101,간식용케익,,간식빵,,빵,간식,96,5720,0.016783217
A04,98,과자빵,,간식빵,,빵,간식,579,5720,0.101223776
A04,100,도너츠,,간식빵,,빵,간식,37,5720,0.006468531
A04,96,샌드빵,,간식빵,,빵,간식,200,5720,0.034965035
A04,99,조리빵,,간식빵,,빵,간식,10,5720,0.001748252
A04,94,천연발효빵,,간식빵,,빵,간식,118,5720,0.020629371
A04,97,캐릭터빵,,간식빵,,빵,간식,151,5720,0.026398601
A04,95,페스트리,,간식빵,,빵,간식,202,5720,0.035314685
A04,102,식빵,,식빵,,빵,간식,51,5720,0.008916084
A04,107,기타,제거,케익,,빵,간식,6,5720,0.001048951
A04,106,케익,,케익,,빵,간식,4,5720,0.000699301
A04,109,베이커리,,프리미엄,,빵,간식,124,5720,0.021678322
A04,108,후레쉬빵,,프리미엄,,빵,간식,13,5720,0.002272727
A04,104,만두,,호빵,,빵,간식,3,5720,0.000524476
A04,103,호빵,,호빵,,빵,간식,192,5720,0.033566434
A04,105,구운과자,,화과자,,빵,간식,229,5720,0.040034965
A04,335,카네이션,제거,기타,,서비스 상품,,1,5720,0.000174825
A04,334,쓰레기봉투,제거,쓰레기봉투,,서비스 상품,,88,5720,0.015384615
A04,333,문화상품권,제거,유가증권,,서비스 상품,,1,5720,0.000174825
A04,332,MVNO,제거,일반서비스,,서비스 상품,,1,5720,0.000174825
A04,331,교통카드판매,제거,일반서비스,,서비스 상품,,9,5720,0.001573427
A04,330,복권,제거,일반서비스,,서비스 상품,,4,5720,0.000699301
A04,340,아동,제거,단행본,,서적/음반,,1,5720,0.000174825
A04,339,성인지,제거,잡지,,서적/음반,,1,5720,0.000174825
A04,337,시사/교양지,제거,잡지,,서적/음반,,6,5720,0.001048951
A04,336,여성지,제거,잡지,,서적/음반,,3,5720,0.000524476
A04,338,퍼즐지,제거,잡지,,서적/음반,,4,5720,0.000699301
A04,341,단행본서적(직배),제거,특수점서적,,서적/음반,,5,5720,0.000874126
A04,342,유아용서적(직배),제거,특수점서적,,서적/음반,,3,5720,0.000524476
A04,507,소모용포장지,제거,소모용포장지,,소모품,,33,5720,0.005769231
A04,506,기타판매용소모품,제거,판매용소모품,,소모품,,35,5720,0.006118881
A04,504,슬러피원액,제거,판매용소모품,,소모품,,3,5720,0.000524476
A04,505,커피원액,제거,판매용소모품,,소모품,,5,5720,0.000874126
A04,348,경마지,제거,경마지,,신문,,2,5720,0.00034965
A04,345,경제지,제거,일간신문,,신문,,7,5720,0.001223776
A04,344,스포츠지,제거,일간신문,,신문,,4,5720,0.000699301
A04,346,영자신문,제거,일간신문,,신문,,1,5720,0.000174825
A04,343,종합일간지,제거,일간신문,,신문,,15,5720,0.002622378
A04,347,일요신문,제거,주간신문,,신문,,2,5720,0.00034965
A04,110,두부,,1차식품,,신선,,40,5720,0.006993007
A04,112,일반란,,1차식품,,신선,,69,5720,0.012062937
A04,111,콩나물,,1차식품,,신선,,2,5720,0.00034965
A04,117,10kg미만,,곡물,,신선,,5,5720,0.000874126
A04,118,10kg이상,,곡물,,신선,,1,5720,0.000174825
A04,116,견과류,,과일야채,,신선,,1,5720,0.000174825
A04,113,과일,,과일야채,,신선,,269,5720,0.047027972
A04,115,선물세트,제거,과일야채,,신선,,5,5720,0.000874126
A04,114,야채,,과일야채,,신선,,11,5720,0.001923077
A04,119,축산,,수축산,,신선,,2,5720,0.00034965
A04,315,구슬아이스,,고급,,아이스크림,간식,86,5720,0.015034965
A04,311,바,,고급,,아이스크림,간식,132,5720,0.023076923
A04,312,컵,,고급,,아이스크림,간식,168,5720,0.029370629
A04,314,케익,,고급,,아이스크림,간식,6,5720,0.001048951
A04,313,파인트,,고급,,아이스크림,간식,135,5720,0.023601399
A04,308,기타,제거,노벨티,,아이스크림,간식,58,5720,0.01013986
A04,306,모나카,,노벨티,,아이스크림,간식,568,5720,0.099300699
A04,303,바,,노벨티,,아이스크림,간식,1130,5720,0.197552448
A04,305,컵,,노벨티,,아이스크림,간식,158,5720,0.027622378
A04,304,콘,,노벨티,,아이스크림,간식,815,5720,0.142482517
A04,307,펜슬,,노벨티,,아이스크림,간식,627,5720,0.109615385
A04,310,멀티,,홈타입,,아이스크림,간식,13,5720,0.002272727
A04,309,카톤,,홈타입,,아이스크림,간식,46,5720,0.008041958
A04,233,기타,제거,기타,,안주,음주,26,5720,0.004545455
A04,232,일반스틱,제거,기타,,안주,음주,17,5720,0.002972028
A04,231,봉지너트,,너트류,,안주,음주,143,5720,0.025
A04,230,캔너트,,너트류,,안주,음주,49,5720,0.008566434
A04,234,과일,,농산안주,,안주,음주,10,5720,0.001748252
A04,235,농산물,,농산안주,,안주,음주,47,5720,0.008216783
A04,227,기타생선,제거,생선류,,안주,음주,36,5720,0.006293706
A04,226,대용량,,생선류,,안주,음주,16,5720,0.002797203
A04,225,어육,,생선류,,안주,음주,40,5720,0.006993007
A04,224,쥐포,,생선류,,안주,음주,25,5720,0.004370629
A04,237,김스낵,,스낵안주,,안주,음주,36,5720,0.006293706
A04,236,일반스낵,,스낵안주,,안주,음주,20,5720,0.003496503
A04,221,대용량,,오징어,,안주,음주,69,5720,0.012062937
A04,219,오징어(소),,오징어,,안주,음주,339,5720,0.059265734
A04,220,오징어(중),,오징어,,안주,음주,270,5720,0.047202797
A04,229,대용량,,육포,,안주,음주,15,5720,0.002622378
A04,228,육포,,육포,,안주,음주,123,5720,0.021503497
A04,238,캔안주,,캔안주,,안주,음주,1,5720,0.000174825
A04,442,병원용품,제거,병원용품,,약품/의료품,,44,5720,0.007692308
A04,445,감기약,제거,안전상비의약품,,약품/의료품,,52,5720,0.009090909
A04,444,소화제,제거,안전상비의약품,,약품/의료품,,59,5720,0.010314685
A04,446,파스,제거,안전상비의약품,,약품/의료품,,23,5720,0.004020979
A04,443,해열진통제,제거,안전상비의약품,,약품/의료품,,79,5720,0.013811189
A04,447,임신배란테스트기,제거,의료기기,,약품/의료품,,1,5720,0.000174825
A04,435,렌즈용품,제거,의약외품,,약품/의료품,,84,5720,0.014685315
A04,441,마사지젤,제거,의약외품,,약품/의료품,,2,5720,0.00034965
A04,440,마스크/시즌,제거,의약외품,,약품/의료품,,103,5720,0.018006993
A04,437,밴드용품,제거,의약외품,,약품/의료품,,118,5720,0.020629371
A04,438,응급위생용품,제거,의약외품,,약품/의료품,,3,5720,0.000524476
A04,439,의약외품,제거,의약외품,,약품/의료품,,256,5720,0.044755245
A04,436,콘돔,제거,의약외품,,약품/의료품,,78,5720,0.013636364
A04,261,리쿼,,리쿼,양주,양주와인,음주,184,5720,0.032167832
A04,262,일반선물세트,제거,선물세트,,양주와인,음주,1,5720,0.000174825
A04,256,기타양주,제거,양주,,양주와인,음주,8,5720,0.001398601
A04,255,위스키,,양주,,양주와인,음주,11,5720,0.001923077
A04,257,레드,,와인,,양주와인,음주,34,5720,0.005944056
A04,259,샴페인,,와인,,양주와인,음주,3,5720,0.000524476
A04,260,소품,,와인,,양주와인,음주,3,5720,0.000524476
A04,258,화이트,,와인,,양주와인,음주,16,5720,0.002797203
A04,423,일반선물세트,제거,선물세트,,언더웨어,,1,5720,0.000174825
A04,413,타이즈/레깅스,제거,스타킹,,언더웨어,,27,5720,0.00472028
A04,411,판타롱스타킹,제거,스타킹,,언더웨어,,36,5720,0.006293706
A04,410,팬티스타킹,제거,스타킹,,언더웨어,,181,5720,0.031643357
A04,412,풋커버/앵클삭스,제거,스타킹,,언더웨어,,61,5720,0.010664336
A04,421,계절용품,제거,시즌/소품,,언더웨어,,2,5720,0.00034965
A04,422,기타,제거,시즌/소품,,언더웨어,,1,5720,0.000174825
A04,420,손수건/타올,제거,시즌/소품,,언더웨어,,13,5720,0.002272727
A04,414,남성양말,제거,양말,,언더웨어,,47,5720,0.008216783
A04,416,상권특화(캐릭터양말),제거,양말,,언더웨어,,8,5720,0.001398601
A04,415,여성양말,제거,양말,,언더웨어,,36,5720,0.006293706
A04,417,남성팬티,제거,팬티/내의,,언더웨어,,10,5720,0.001748252
A04,419,내의류,제거,팬티/내의,,언더웨어,,2,5720,0.00034965
A04,418,여성팬티,제거,팬티/내의,,언더웨어,,18,5720,0.003146853
A04,498,여름/겨울,제거,계절완구,,완구,,4,5720,0.000699301
A04,499,행사상품,제거,계절완구,,완구,,46,5720,0.008041958
A04,495,스티커,제거,아동완구,,완구,,3,5720,0.000524476
A04,493,일반완구,제거,아동완구,,완구,,82,5720,0.014335664
A04,494,캡슐완구,제거,아동완구,,완구,,3,5720,0.000524476
A04,502,관광상품(직배),제거,특수점완구,,완구,,11,5720,0.001923077
A04,500,일반완구(직배),제거,특수점완구,,완구,,38,5720,0.006643357
A04,501,한강점포(직배),제거,특수점완구,,완구,,6,5720,0.001048951
A04,503,해변용품(직배),제거,특수점완구,,완구,,11,5720,0.001923077
A04,497,파티용품,제거,폭죽/파티,,완구,,3,5720,0.000524476
A04,496,폭죽용품,제거,폭죽/파티,,완구,,3,5720,0.000524476
A04,123,HOT,제거,기타,,원두커피,,3,5720,0.000524476
A04,122,HOT,,신컨셉,편의점카페,원두커피,음료,2,5720,0.00034965
A04,120,HOT,,편의점카페,,원두커피,음료,237,5720,0.041433566
A04,121,ICE,,편의점카페,,원두커피,음료,92,5720,0.016083916
A04,434,유아용,제거,기저귀,,위생용품,음료,8,5720,0.001398601
A04,429,4P,제거,생리대,,위생용품,여성용품,229,5720,0.040034965
A04,426,대형,제거,생리대,,위생용품,여성용품,55,5720,0.009615385
A04,424,소형,제거,생리대,,위생용품,여성용품,13,5720,0.002272727
A04,425,중형,제거,생리대,,위생용품,여성용품,72,5720,0.012587413
A04,428,탐폰,제거,생리대,탐폰,위생용품,여성용품,22,5720,0.003846154
A04,427,팬티라이너,제거,생리대,팬티라이너,위생용품,여성용품,55,5720,0.009615385
A04,433,롤티슈,제거,티슈,,위생용품,,61,5720,0.010664336
A04,432,물티슈,제거,티슈,,위생용품,,297,5720,0.051923077
A04,430,박스티슈,제거,티슈,,위생용품,,65,5720,0.011363636
A04,431,여행용티슈,제거,티슈,,위생용품,,202,5720,0.035314685
A04,61,기타,제거,가공우유,,유음료,,633,5720,0.110664336
A04,59,딸기우유,,가공우유,,유음료,음료,817,5720,0.142832168
A04,58,바나나우유,,가공우유,,유음료,음료,1002,5720,0.175174825
A04,60,초코우유,,가공우유,,유음료,음료,1149,5720,0.200874126
A04,57,커피우유,,가공우유,,유음료,음료,951,5720,0.166258741
A04,56,컵커피우유,,가공우유,,유음료,음료,1679,5720,0.293531469
A04,55,기능성우유(대),,기능성우유,,유음료,음료,76,5720,0.013286713
A04,53,기능성우유(소),,기능성우유,,유음료,음료,322,5720,0.056293706
A04,54,기능성우유(중),,기능성우유,,유음료,음료,106,5720,0.018531469
A04,71,냉장주스(대),,냉장주스,,유음료,음료,46,5720,0.008041958
A04,69,냉장주스(소),,냉장주스,,유음료,음료,1029,5720,0.179895105
A04,70,냉장주스(중),,냉장주스,,유음료,음료,8,5720,0.001398601
A04,72,유산균음료,,냉장주스,,유음료,음료,232,5720,0.040559441
A04,68,두유선물세트,제거,두유,,유음료,음료,2,5720,0.00034965
A04,66,병두유,,두유,,유음료,음료,541,5720,0.09458042
A04,67,팩두유,,두유,,유음료,음료,59,5720,0.010314685
A04,63,기능성요구르트,,요구르트,,유음료,음료,870,5720,0.152097902
A04,62,드링킹요구르트,,요구르트,,유음료,음료,783,5720,0.136888112
A04,64,떠먹는요구르트,,요구르트,,유음료,음료,282,5720,0.049300699
A04,65,프리미엄요구르트,,요구르트,,유음료,음료,1,5720,0.000174825
A04,73,버터,,유제품,,유음료,음료,1,5720,0.000174825
A04,74,치즈,,유제품,,유음료,음료,266,5720,0.046503497
